session_id,candidate_name,event_type,timestamp
SES001,Danielle Carpenter,focus_loss,2026-09-04 19:13:37
SES001,Danielle Carpenter,question_answered,2026-09-04 19:17:00
SES001,Danielle Carpenter,tab_switched,2026-09-04 19:13:59
SES001,Danielle Carpenter,focus_loss,2026-09-04 19:18:46
SES001,Danielle Carpenter,face_absent,2026-09-04 19:29:29
SES001,Danielle Carpenter,focus_loss,2026-09-04 19:24:32
SES001,Danielle Carpenter,tab_switched,2026-09-04 19:23:49
SES001,Danielle Carpenter,question_answered,2026-09-04 19:16:39
SES001,Danielle Carpenter,tab_switched,2026-09-04 19:33:29
SES001,Danielle Carpenter,face_detected,2026-09-04 19:48:34
SES001,Danielle Carpenter,focus_loss,2026-09-04 19:47:07
SES001,Danielle Carpenter,tab_switched,2026-09-04 20:04:57
SES001,Danielle Carpenter,focus_loss,2026-09-04 20:06:25
SES001,Danielle Carpenter,face_absent,2026-09-04 19:37:14
SES001,Danielle Carpenter,tab_switched,2026-09-04 19:21:33
SES001,Danielle Carpenter,face_absent,2026-09-04 19:19:52
SES001,Danielle Carpenter,tab_switched,2026-09-04 19:45:53
SES001,Danielle Carpenter,tab_switched,2026-09-04 19:59:14
SES002,Emily Martinez,tab_switched,2026-09-04 19:13:37
SES002,Emily Martinez,tab_switched,2026-09-04 19:16:09
SES002,Emily Martinez,question_answered,2026-09-04 19:14:53
SES002,Emily Martinez,face_detected,2026-09-04 19:15:22
SES002,Emily Martinez,face_absent,2026-09-04 19:32:09
SES002,Emily Martinez,question_answered,2026-09-04 19:32:57
SES002,Emily Martinez,face_absent,2026-09-04 19:16:49
SES002,Emily Martinez,tab_switched,2026-09-04 19:30:46
SES002,Emily Martinez,focus_loss,2026-09-04 19:19:45
SES002,Emily Martinez,face_absent,2026-09-04 19:38:31
SES002,Emily Martinez,question_answered,2026-09-04 19:57:37
SES002,Emily Martinez,tab_switched,2026-09-04 19:46:37
SES002,Emily Martinez,face_absent,2026-09-04 20:01:01
SES002,Emily Martinez,question_answered,2026-09-04 20:02:22
SES002,Emily Martinez,question_answered,2026-09-04 20:19:25
SES003,Shawna Palmer,focus_loss,2026-09-04 19:13:37
SES003,Shawna Palmer,face_absent,2026-09-04 19:17:19
SES003,Shawna Palmer,tab_switched,2026-09-04 19:22:47
SES003,Shawna Palmer,face_detected,2026-09-04 19:18:10
SES003,Shawna Palmer,face_absent,2026-09-04 19:17:01
SES003,Shawna Palmer,face_detected,2026-09-04 19:36:17
SES003,Shawna Palmer,face_detected,2026-09-04 19:30:31
SES003,Shawna Palmer,tab_switched,2026-09-04 19:34:09
SES003,Shawna Palmer,focus_loss,2026-09-04 19:19:13
SES003,Shawna Palmer,question_answered,2026-09-04 19:39:43
SES003,Shawna Palmer,face_absent,2026-09-04 19:16:27
SES003,Shawna Palmer,tab_switched,2026-09-04 19:31:46
SES003,Shawna Palmer,face_detected,2026-09-04 20:02:49
SES003,Shawna Palmer,face_absent,2026-09-04 19:47:12
SES003,Shawna Palmer,tab_switched,2026-09-04 20:11:43
SES003,Shawna Palmer,question_answered,2026-09-04 19:19:07
SES003,Shawna Palmer,face_absent,2026-09-04 19:32:17
SES003,Shawna Palmer,question_answered,2026-09-04 19:40:15
SES003,Shawna Palmer,face_absent,2026-09-04 20:12:07
SES004,Theresa Mcdowell,question_answered,2026-09-04 19:13:37
SES004,Theresa Mcdowell,face_detected,2026-09-04 19:14:15
SES004,Theresa Mcdowell,focus_loss,2026-09-04 19:20:09
SES004,Theresa Mcdowell,face_absent,2026-09-04 19:26:31
SES004,Theresa Mcdowell,question_answered,2026-09-04 19:32:05
SES004,Theresa Mcdowell,focus_loss,2026-09-04 19:25:47
SES004,Theresa Mcdowell,tab_switched,2026-09-04 19:27:07
SES004,Theresa Mcdowell,question_answered,2026-09-04 19:39:31
SES004,Theresa Mcdowell,focus_loss,2026-09-04 19:44:17
SES004,Theresa Mcdowell,tab_switched,2026-09-04 19:43:46
SES004,Theresa Mcdowell,tab_switched,2026-09-04 19:26:27
SES004,Theresa Mcdowell,focus_loss,2026-09-04 19:55:36
SES004,Theresa Mcdowell,face_absent,2026-09-04 19:27:49
SES005,Erik Carter,face_absent,2026-09-04 19:13:37
SES005,Erik Carter,tab_switched,2026-09-04 19:15:46
SES005,Erik Carter,focus_loss,2026-09-04 19:22:37
SES005,Erik Carter,face_detected,2026-09-04 19:18:43
SES005,Erik Carter,question_answered,2026-09-04 19:20:45
SES005,Erik Carter,focus_loss,2026-09-04 19:16:07
SES005,Erik Carter,focus_loss,2026-09-04 19:40:43
SES005,Erik Carter,focus_loss,2026-09-04 19:37:25
SES005,Erik Carter,face_detected,2026-09-04 19:52:17
SES005,Erik Carter,face_absent,2026-09-04 19:24:16
SES005,Erik Carter,face_detected,2026-09-04 19:37:47
SES005,Erik Carter,question_answered,2026-09-04 20:05:19
SES006,Christopher Chase,focus_loss,2026-09-04 19:13:37
SES006,Christopher Chase,face_absent,2026-09-04 19:16:45
SES006,Christopher Chase,face_absent,2026-09-04 19:17:47
SES006,Christopher Chase,question_answered,2026-09-04 19:14:22
SES006,Christopher Chase,focus_loss,2026-09-04 19:27:37
SES006,Christopher Chase,question_answered,2026-09-04 19:29:47
SES006,Christopher Chase,face_absent,2026-09-04 19:26:37
SES006,Christopher Chase,face_detected,2026-09-04 19:34:30
SES006,Christopher Chase,focus_loss,2026-09-04 19:39:05
SES006,Christopher Chase,tab_switched,2026-09-04 19:55:10
SES006,Christopher Chase,focus_loss,2026-09-04 19:32:07
SES006,Christopher Chase,face_absent,2026-09-04 19:39:39
SES006,Christopher Chase,tab_switched,2026-09-04 20:07:49
SES006,Christopher Chase,face_detected,2026-09-04 19:43:05
SES006,Christopher Chase,focus_loss,2026-09-04 19:38:35
SES006,Christopher Chase,focus_loss,2026-09-04 20:01:52
SES006,Christopher Chase,focus_loss,2026-09-04 20:33:05
SES006,Christopher Chase,face_detected,2026-09-04 19:51:01
SES007,Tina Ross,tab_switched,2026-09-04 19:13:37
SES007,Tina Ross,tab_switched,2026-09-04 19:15:13
SES007,Tina Ross,face_absent,2026-09-04 19:21:05
SES007,Tina Ross,focus_loss,2026-09-04 19:15:10
SES007,Tina Ross,tab_switched,2026-09-04 19:20:41
SES007,Tina Ross,question_answered,2026-09-04 19:35:52
SES007,Tina Ross,tab_switched,2026-09-04 19:23:43
SES007,Tina Ross,tab_switched,2026-09-04 19:39:17
SES007,Tina Ross,focus_loss,2026-09-04 19:33:05
SES007,Tina Ross,tab_switched,2026-09-04 19:17:49
SES007,Tina Ross,face_detected,2026-09-04 20:03:07
SES007,Tina Ross,focus_loss,2026-09-04 19:55:25
SES007,Tina Ross,tab_switched,2026-09-04 19:41:25
SES007,Tina Ross,face_detected,2026-09-04 20:07:47
SES007,Tina Ross,face_absent,2026-09-04 19:37:25
SES007,Tina Ross,tab_switched,2026-09-04 20:26:52
SES007,Tina Ross,tab_switched,2026-09-04 19:35:13
SES008,Justin Mitchell,question_answered,2026-09-04 19:13:37
SES008,Justin Mitchell,face_detected,2026-09-04 19:17:44
SES008,Justin Mitchell,focus_loss,2026-09-04 19:19:29
SES008,Justin Mitchell,focus_loss,2026-09-04 19:25:07
SES008,Justin Mitchell,tab_switched,2026-09-04 19:22:17
SES008,Justin Mitchell,question_answered,2026-09-04 19:31:22
SES008,Justin Mitchell,face_absent,2026-09-04 19:37:37
SES008,Justin Mitchell,focus_loss,2026-09-04 19:18:17
SES008,Justin Mitchell,focus_loss,2026-09-04 19:35:53
SES008,Justin Mitchell,face_absent,2026-09-04 19:25:01
SES008,Justin Mitchell,question_answered,2026-09-04 19:52:17
SES008,Justin Mitchell,focus_loss,2026-09-04 19:57:26
SES008,Justin Mitchell,face_detected,2026-09-04 19:45:25
SES008,Justin Mitchell,focus_loss,2026-09-04 19:58:15
SES008,Justin Mitchell,question_answered,2026-09-04 20:07:03
SES008,Justin Mitchell,focus_loss,2026-09-04 19:54:07
SES008,Justin Mitchell,question_answered,2026-09-04 19:31:45
SES008,Justin Mitchell,focus_loss,2026-09-04 20:10:00
SES009,Russell Brooks,face_detected,2026-09-04 19:13:37
SES009,Russell Brooks,face_absent,2026-09-04 19:17:45
SES009,Russell Brooks,face_absent,2026-09-04 19:14:09
SES009,Russell Brooks,tab_switched,2026-09-04 19:15:25
SES009,Russell Brooks,tab_switched,2026-09-04 19:16:37
SES009,Russell Brooks,face_detected,2026-09-04 19:34:02
SES009,Russell Brooks,question_answered,2026-09-04 19:31:19
SES009,Russell Brooks,question_answered,2026-09-04 19:35:12
SES009,Russell Brooks,face_absent,2026-09-04 19:26:41
SES009,Russell Brooks,face_detected,2026-09-04 19:16:46
SES009,Russell Brooks,focus_loss,2026-09-04 19:49:27
SES009,Russell Brooks,question_answered,2026-09-04 19:33:03
SES010,Cody Bryan,focus_loss,2026-09-04 19:13:37
SES010,Cody Bryan,face_detected,2026-09-04 19:18:32
SES010,Cody Bryan,face_absent,2026-09-04 19:21:13
SES010,Cody Bryan,focus_loss,2026-09-04 19:15:07
SES010,Cody Bryan,face_absent,2026-09-04 19:20:49
SES010,Cody Bryan,face_detected,2026-09-04 19:15:17
SES010,Cody Bryan,face_absent,2026-09-04 19:27:43
SES010,Cody Bryan,tab_switched,2026-09-04 19:33:06
SES010,Cody Bryan,face_absent,2026-09-04 19:44:17
SES010,Cody Bryan,face_detected,2026-09-04 19:57:07
SES010,Cody Bryan,question_answered,2026-09-04 19:30:07
SES010,Cody Bryan,question_answered,2026-09-04 20:06:03
SES010,Cody Bryan,focus_loss,2026-09-04 19:19:01
SES010,Cody Bryan,face_detected,2026-09-04 19:29:52
